repo,tag,cor,cfor,pco
avro,release-1.8.1-rc0,3.9591451917033313,1.8274670018856065,0.5399608561748749
avro,release-1.8.1-rc1,3.9399748585795096,1.845065996228787,0.6116106882449144
avro,release-1.8.1,3.9635449402891263,1.8274670018856065,0.5399608561748749
avro,release-1.8.2-rc1,4.0,1.8405616224648986,0.5518887424616684
avro,release-1.8.2-rc2,4.001247660636307,1.842170929507174,0.68000978251142
avro,release-1.8.2-rc3,4.001559575795383,1.8424828446662507,0.6668036480885189
avro,release-1.8.2-rc4,4.001871490954461,1.8427947598253276,0.6541327342679544
avro,release-1.8.2,4.001871490954461,1.8427947598253276,0.6541327342679544
avro,release-1.9.0-rc1,4.77300259590424,2.51225843668878,1.124138472314685
avro,release-1.9.0-rc2,4.774156331122008,2.51225843668878,1.124138472314685
avro,release-1.9.0-rc3,4.775021632535333,2.51225843668878,1.124138472314685
avro,release-1.9.0,4.7757278754684345,2.513980974344191,1.1251695519483906
avro,release-1.9.0-rc4,4.7757278754684345,2.513980974344191,1.1251695519483906
avro,release-1.9.1-rc1,5.206362854686157,2.9091430209229006,1.2062092663376685
avro,release-1.9.1-rc2,5.174837064324171,2.887786908472655,1.2033077689192286
avro,release-1.9.1,5.175120430716917,2.887786908472655,1.2033077689192286
avro,release-1.9.1-rc3,5.175120430716917,2.887786908472655,1.2033077689192286
avro,release-1.9.2-rc1,5.257231114855378,2.9149115417017692,1.2358751349751596
avro,release-1.9.2-rc2,5.259477674810446,2.9154731816905364,1.235787484755421
avro,release-1.9.2,5.259477674810446,2.9154731816905364,1.235787484755421
avro,release-1.10.0-rc1,5.347767253044655,3.0143437077131257,1.2864738362875838
avro,release-1.10.0-rc2,5.348579161028416,3.0146143437077133,1.287655066953545
avro,release-1.10.0,5.348579161028416,3.0146143437077133,1.287655066953545
avro,release-1.10.1-rc1,5.374358974358974,3.0280701754385966,1.329374039514696
avro,release-1.10.1,5.374358974358974,3.0280701754385966,1.329374039514696
avro,release-1.10.2-rc1,5.412176724137931,3.0342133620689653,1.341117759396017
avro,release-1.10.2-rc2,5.412984913793103,3.0342133620689653,1.341117759396017
avro,release-1.10.2,5.412984913793103,3.0342133620689653,1.341117759396017
avro,release-1.11.0-rc1,5.6334455086720165,3.01993269479679,1.2567134438263772
